lstm_f_0,lstm_f_1,lstm_f_2,lstm_f_3,lstm_f_4,lstm_f_5,lstm_f_6,lstm_f_7,lstm_f_8,lstm_f_9,lstm_f_10,lstm_f_11,lstm_f_12,lstm_f_13,lstm_f_14,lstm_f_15,lstm_f_16,lstm_f_17,lstm_f_18,lstm_f_19,lstm_f_20,lstm_f_21,lstm_f_22,lstm_f_23,lstm_f_24,lstm_f_25,lstm_f_26,lstm_f_27,lstm_f_28,lstm_f_29,lstm_f_30,lstm_f_31
0.99841416,0.9990996,0.99945617,0.99925816,0.9989479,0.9981682,-0.99900293,-0.9988406,-0.9985363,0.9989334,0.9993588,0.9984664,0.9990972,-0.9992327,-0.9993585,0.99907726,-0.998449,-0.99957687,0.9991134,0.9990638,-0.9977694,-0.998432,0.99942166,-0.9984617,-0.9991592,-0.9990975,-0.99889666,0.9994775,0.99813944,-0.99848425,0.99923664,0.9993204
0.99841523,0.99910027,0.9994566,0.99925876,0.9989486,0.9981693,-0.99900365,-0.9988414,-0.99853724,0.99893415,0.99935925,0.99846745,0.9990978,-0.9992332,-0.99935895,0.9990779,-0.9984502,-0.9995773,0.99911404,0.99906445,-0.9977704,-0.99843305,0.99942213,-0.99846274,-0.99915975,-0.9990982,-0.99889743,0.999478,0.9981406,-0.99848515,0.99923724,0.9993209
0.99841475,0.9990999,0.9994564,0.99925846,0.9989483,0.99816877,-0.9990033,-0.998841,-0.9985368,0.9989338,0.9993591,0.9984669,0.9990975,-0.99923295,-0.9993587,0.99907756,-0.9984496,-0.9995771,0.99911374,0.99906415,-0.99776995,-0.9984325,0.9994219,-0.99846226,-0.9991595,-0.9990979,-0.998897,0.99947774,0.99814,-0.9984847,0.99923694,0.9993206
0.9984146,0.9990998,0.9994563,0.9992584,0.99894816,0.9981685,-0.9990032,-0.99884087,-0.99853665,0.9989336,0.99935895,0.99846673,0.9990974,-0.9992329,-0.99935865,0.9990775,-0.99844944,-0.99957705,0.9991136,0.999064,-0.9977697,-0.99843234,0.99942183,-0.9984621,-0.9991594,-0.99909776,-0.9988969,0.9994776,0.9981398,-0.9984845,0.9992368,0.99932057
0.99841523,0.99910027,0.9994566,0.99925876,0.9989486,0.99816936,-0.99900365,-0.9988414,-0.9985373,0.99893415,0.99935925,0.99846745,0.9990978,-0.9992332,-0.99935895,0.9990779,-0.9984502,-0.9995773,0.99911404,0.99906445,-0.9977704,-0.99843305,0.99942213,-0.99846274,-0.99915975,-0.9990982,-0.9988974,0.999478,0.9981406,-0.9984851,0.99923724,0.9993209
0.99841475,0.9990999,0.9994564,0.99925846,0.9989483,0.9981687,-0.99900323,-0.998841,-0.99853677,0.99893373,0.999359,0.99846685,0.99909747,-0.99923295,-0.9993587,0.99907756,-0.99844956,-0.9995771,0.99911374,0.99906415,-0.9977699,-0.99843246,0.9994219,-0.9984622,-0.99915946,-0.9990978,-0.998897,0.99947774,0.9981399,-0.9984846,0.99923694,0.9993206
0.99841464,0.99909985,0.99945635,0.9992584,0.9989482,0.99816865,-0.9990032,-0.9988409,-0.9985367,0.9989337,0.999359,0.9984668,0.99909747,-0.9992329,-0.99935865,0.9990775,-0.9984495,-0.99957705,0.9991137,0.9990641,-0.99776983,-0.9984324,0.99942183,-0.99846214,-0.99915946,-0.9990978,-0.99889696,0.9994777,0.99813986,-0.99848455,0.9992369,0.99932057
0.9984142,0.9990996,0.99945617,0.9992582,0.998948,0.99816823,-0.99900293,-0.99884063,-0.99853635,0.99893343,0.99935883,0.9984664,0.9990972,-0.99923277,-0.9993585,0.99907726,-0.9984491,-0.9995769,0.99911344,0.99906385,-0.9977694,-0.99843204,0.99942166,-0.9984618,-0.9991593,-0.9990976,-0.9988967,0.9994775,0.99813944,-0.99848425,0.99923664,0.9993204
0.9984144,0.99909973,0.9994562,0.99925834,0.9989481,0.9981684,-0.9990031,-0.9988408,-0.9985365,0.99893355,0.9993589,0.9984666,0.99909735,-0.9992328,-0.9993586,0.99907744,-0.9984493,-0.999577,0.99911356,0.99906397,-0.99776965,-0.9984322,0.9994218,-0.99846196,-0.99915934,-0.9990977,-0.99889684,0.9994776,0.9981397,-0.99848443,0.99923676,0.9993205
0.99841523,0.99910027,0.9994566,0.99925876,0.9989486,0.9981693,-0.99900365,-0.9988414,-0.99853724,0.99893415,0.99935925,0.99846745,0.9990978,-0.9992332,-0.99935895,0.9990779,-0.9984502,-0.9995773,0.99911404,0.99906445,-0.9977704,-0.99843305,0.99942213,-0.99846274,-0.99915975,-0.9990982,-0.9988974,0.999478,0.9981406,-0.9984851,0.99923724,0.9993209
0.99841446,0.99909973,0.9994563,0.99925834,0.9989481,0.9981684,-0.99900305,-0.99884075,-0.9985365,0.99893355,0.9993589,0.9984666,0.99909735,-0.9992328,-0.9993586,0.9990774,-0.9984493,-0.999577,0.99911356,0.99906397,-0.99776965,-0.9984322,0.9994218,-0.99846196,-0.99915934,-0.9990977,-0.99889684,0.9994776,0.9981397,-0.99848443,0.99923676,0.9993205
0.9984145,0.9990998,0.9994563,0.99925834,0.9989481,0.9981685,-0.9990031,-0.9988408,-0.9985366,0.9989336,0.99935895,0.9984667,0.99909735,-0.9992329,-0.9993586,0.99907744,-0.9984494,-0.999577,0.9991136,0.999064,-0.9977697,-0.9984323,0.9994218,-0.998462,-0.9991594,-0.9990977,-0.9988969,0.9994776,0.99813974,-0.9984845,0.9992368,0.9993205
0.9984146,0.99909985,0.9994563,0.9992584,0.99894816,0.9981686,-0.9990032,-0.99884087,-0.99853665,0.9989337,0.99935895,0.99846673,0.9990974,-0.9992329,-0.99935865,0.9990775,-0.99844944,-0.99957705,0.9991136,0.999064,-0.9977698,-0.99843234,0.99942183,-0.9984621,-0.9991594,-0.99909776,-0.99889696,0.9994777,0.9981398,-0.99848455,0.9992368,0.99932057
0.9984146,0.99909985,0.9994563,0.9992584,0.99894816,0.9981686,-0.9990032,-0.9988409,-0.99853665,0.9989337,0.99935895,0.9984668,0.9990974,-0.9992329,-0.99935865,0.9990775,-0.99844944,-0.99957705,0.9991136,0.999064,-0.9977698,-0.9984324,0.99942183,-0.9984621,-0.9991594,-0.99909776,-0.99889696,0.9994777,0.99813986,-0.99848455,0.9992369,0.99932057
0.99841523,0.9991002,0.9994566,0.99925876,0.9989486,0.9981693,-0.99900365,-0.9988414,-0.99853724,0.9989341,0.99935925,0.99846745,0.99909776,-0.9992332,-0.99935895,0.99907786,-0.99845016,-0.9995773,0.99911404,0.99906445,-0.99777037,-0.998433,0.99942213,-0.9984627,-0.9991597,-0.9990982,-0.9988974,0.9994779,0.9981405,-0.9984851,0.99923724,0.9993209
0.9984148,0.9990999,0.9994564,0.99925846,0.9989483,0.99816877,-0.9990033,-0.998841,-0.9985368,0.9989338,0.9993591,0.9984669,0.9990975,-0.99923295,-0.9993588,0.99907756,-0.9984496,-0.9995771,0.99911374,0.99906415,-0.99776995,-0.9984325,0.9994219,-0.99846226,-0.9991595,-0.9990979,-0.998897,0.99947774,0.99814,-0.9984847,0.99923694,0.9993207
0.99841434,0.9990997,0.9994562,0.9992583,0.99894804,0.9981683,-0.999003,-0.9988407,-0.99853647,0.9989335,0.99935883,0.9984665,0.9990973,-0.99923277,-0.99935853,0.9990773,-0.9984492,-0.9995769,0.9991135,0.9990639,-0.99776953,-0.9984321,0.9994217,-0.99846184,-0.9991593,-0.99909765,-0.9988968,0.99947757,0.99813956,-0.9984843,0.9992367,0.99932045
0.9984144,0.99909973,0.9994562,0.9992583,0.99894804,0.9981684,-0.99900305,-0.99884075,-0.99853647,0.99893355,0.9993589,0.99846655,0.9990973,-0.9992328,-0.9993586,0.9990774,-0.99844927,-0.999577,0.9991135,0.9990639,-0.9977696,-0.9984322,0.9994217,-0.9984619,-0.99915934,-0.99909765,-0.99889684,0.99947757,0.9981396,-0.9984844,0.99923676,0.99932045
0.9984145,0.99909985,0.9994563,0.9992584,0.99894816,0.9981686,-0.9990032,-0.99884087,-0.99853665,0.9989337,0.99935895,0.99846673,0.9990974,-0.9992329,-0.99935865,0.9990775,-0.99844944,-0.99957705,0.9991136,0.999064,-0.9977698,-0.99843234,0.99942183,-0.9984621,-0.9991594,-0.99909776,-0.99889696,0.9994777,0.9981398,-0.99848455,0.9992368,0.99932057
0.99841446,0.99909973,0.9994562,0.99925834,0.9989481,0.99816847,-0.9990031,-0.9988408,-0.9985365,0.99893355,0.9993589,0.9984666,0.99909735,-0.9992328,-0.9993586,0.99907744,-0.9984493,-0.999577,0.99911356,0.99906397,-0.99776965,-0.9984322,0.9994218,-0.99846196,-0.99915934,-0.9990977,-0.99889684,0.9994776,0.9981397,-0.99848443,0.99923676,0.9993205
0.9984152,0.9991002,0.9994566,0.9992587,0.9989485,0.99816924,-0.9990036,-0.99884135,-0.9985372,0.9989341,0.99935925,0.9984674,0.99909776,-0.9992332,-0.99935895,0.99907786,-0.9984501,-0.9995772,0.999114,0.9990644,-0.99777037,-0.99843293,0.9994221,-0.9984626,-0.9991597,-0.9990981,-0.9988974,0.9994779,0.99814045,-0.998485,0.99923724,0.99932086
0.9984148,0.9990999,0.9994564,0.9992585,0.9989483,0.99816877,-0.9990033,-0.99884105,-0.9985368,0.9989338,0.9993591,0.99846697,0.9990975,-0.99923295,-0.9993588,0.9990776,-0.9984497,-0.9995771,0.99911374,0.99906415,-0.99776995,-0.9984325,0.9994219,-0.99846226,-0.9991595,-0.9990979,-0.998897,0.99947774,0.99814004,-0.9984847,0.99923694,0.9993207
0.9984144,0.9990997,0.9994562,0.9992583,0.99894804,0.99816835,-0.999003,-0.9988407,-0.99853647,0.9989335,0.9993589,0.99846655,0.9990973,-0.9992328,-0.99935853,0.9990774,-0.9984492,-0.9995769,0.9991135,0.9990639,-0.99776953,-0.99843216,0.9994217,-0.9984619,-0.99915934,-0.99909765,-0.9988968,0.99947757,0.99813956,-0.9984844,0.9992367,0.99932045
0.99841446,0.9990998,0.9994563,0.99925834,0.9989481,0.99816847,-0.9990031,-0.9988408,-0.9985366,0.9989336,0.99935895,0.9984667,0.99909735,-0.9992329,-0.9993586,0.99907744,-0.9984494,-0.999577,0.99911356,0.99906397,-0.99776965,-0.9984323,0.9994218,-0.998462,-0.9991594,-0.9990977,-0.9988969,0.9994776,0.99813974,-0.9984845,0.9992368,0.9993205
0.9984152,0.9991002,0.9994566,0.9992587,0.9989485,0.99816924,-0.9990036,-0.99884135,-0.9985372,0.9989341,0.99935925,0.9984674,0.99909776,-0.9992332,-0.99935895,0.99907786,-0.99845016,-0.9995773,0.99911404,0.99906445,-0.99777037,-0.998433,0.9994221,-0.9984627,-0.9991597,-0.9990982,-0.9988974,0.9994779,0.9981405,-0.9984851,0.99923724,0.99932086
0.99841475,0.9990999,0.9994564,0.99925846,0.9989483,0.9981687,-0.99900323,-0.998841,-0.9985368,0.99893373,0.999359,0.9984669,0.99909747,-0.99923295,-0.9993587,0.99907756,-0.9984496,-0.9995771,0.99911374,0.99906415,-0.9977699,-0.9984325,0.9994219,-0.9984622,-0.9991595,-0.9990978,-0.998897,0.99947774,0.99814,-0.9984847,0.99923694,0.9993206
0.99841434,0.9990997,0.9994562,0.9992583,0.99894804,0.9981683,-0.999003,-0.9988407,-0.99853647,0.9989335,0.9993589,0.9984665,0.9990973,-0.99923277,-0.99935853,0.9990773,-0.9984492,-0.9995769,0.9991135,0.9990639,-0.99776953,-0.9984321,0.9994217,-0.99846184,-0.99915934,-0.99909765,-0.9988968,0.99947757,0.99813956,-0.9984843,0.9992367,0.99932045
0.9984144,0.99909973,0.9994562,0.9992583,0.99894804,0.9981684,-0.99900305,-0.99884075,-0.99853647,0.99893355,0.9993589,0.99846655,0.9990973,-0.9992328,-0.9993586,0.9990774,-0.99844927,-0.999577,0.9991135,0.9990639,-0.9977696,-0.99843216,0.9994217,-0.9984619,-0.99915934,-0.99909765,-0.99889684,0.99947757,0.9981396,-0.9984844,0.99923676,0.99932045
0.9984142,0.9990996,0.99945617,0.9992582,0.998948,0.99816823,-0.99900293,-0.99884063,-0.99853635,0.99893343,0.99935883,0.99846643,0.9990972,-0.99923277,-0.9993585,0.99907726,-0.9984491,-0.9995769,0.99911344,0.99906385,-0.9977694,-0.99843204,0.99942166,-0.9984618,-0.9991593,-0.9990976,-0.9988967,0.9994775,0.9981395,-0.99848425,0.99923664,0.9993204
0.99841434,0.99909973,0.9994562,0.9992583,0.99894804,0.99816835,-0.99900305,-0.99884075,-0.9985364,0.9989335,0.99935883,0.99846655,0.9990973,-0.9992328,-0.99935853,0.9990774,-0.9984492,-0.9995769,0.9991135,0.9990639,-0.99776953,-0.99843216,0.9994217,-0.9984619,-0.99915934,-0.99909765,-0.9988968,0.99947757,0.9981396,-0.9984844,0.9992367,0.99932045
0.9984144,0.99909973,0.9994562,0.9992583,0.9989481,0.9981684,-0.9990031,-0.9988408,-0.9985365,0.99893355,0.9993589,0.9984666,0.99909735,-0.9992328,-0.9993586,0.9990774,-0.99844927,-0.999577,0.99911356,0.99906397,-0.9977696,-0.9984322,0.9994217,-0.99846196,-0.99915934,-0.9990977,-0.99889684,0.9994776,0.9981397,-0.99848443,0.99923676,0.9993205
0.99841446,0.9990998,0.9994563,0.99925834,0.9989481,0.99816847,-0.9990031,-0.9988408,-0.9985366,0.9989336,0.9993589,0.9984667,0.99909735,-0.9992329,-0.9993586,0.99907744,-0.9984494,-0.999577,0.99911356,0.99906397,-0.99776965,-0.9984323,0.9994218,-0.998462,-0.9991594,-0.9990977,-0.9988969,0.9994776,0.99813974,-0.9984845,0.9992368,0.9993205
0.9984151,0.99910015,0.9994565,0.9992587,0.9989485,0.9981692,-0.9990036,-0.99884135,-0.9985371,0.9989341,0.9993592,0.9984673,0.99909776,-0.9992331,-0.9993589,0.99907786,-0.9984501,-0.9995772,0.999114,0.9990644,-0.9977703,-0.99843293,0.9994221,-0.9984626,-0.9991597,-0.9990981,-0.9988973,0.9994779,0.99814045,-0.998485,0.9992372,0.99932086
0.99841535,0.99910027,0.99945664,0.99925876,0.99894863,0.99816936,-0.99900365,-0.99884146,-0.99853736,0.99893415,0.9993593,0.9984675,0.9990978,-0.9992332,-0.999359,0.9990779,-0.9984503,-0.9995773,0.9991141,0.9990645,-0.9977705,-0.99843305,0.99942213,-0.9984628,-0.99915975,-0.99909824,-0.99889743,0.999478,0.9981406,-0.99848515,0.9992373,0.9993209
0.9984147,0.99909985,0.99945635,0.9992584,0.9989482,0.99816865,-0.9990032,-0.9988409,-0.99853677,0.9989337,0.999359,0.9984668,0.99909747,-0.99923295,-0.9993587,0.9990775,-0.9984495,-0.99957705,0.9991137,0.9990641,-0.99776983,-0.9984324,0.99942183,-0.99846214,-0.99915946,-0.9990978,-0.99889696,0.9994777,0.99813986,-0.99848455,0.9992369,0.9993206
0.99841446,0.99909973,0.9994563,0.99925834,0.9989481,0.99816847,-0.99900305,-0.9988408,-0.9985365,0.99893355,0.9993589,0.9984666,0.99909735,-0.9992328,-0.9993586,0.99907744,-0.9984493,-0.999577,0.99911356,0.99906397,-0.99776965,-0.9984322,0.9994218,-0.99846196,-0.99915934,-0.9990977,-0.99889684,0.9994776,0.9981397,-0.99848443,0.99923676,0.9993205
0.99841446,0.9990998,0.9994563,0.99925834,0.9989481,0.99816847,-0.9990031,-0.9988408,-0.9985366,0.9989336,0.9993589,0.9984667,0.99909735,-0.9992328,-0.9993586,0.99907744,-0.9984493,-0.999577,0.99911356,0.99906397,-0.99776965,-0.9984323,0.9994218,-0.998462,-0.9991594,-0.9990977,-0.99889684,0.9994776,0.99813974,-0.99848443,0.99923676,0.9993205
0.9984144,0.99909973,0.9994562,0.9992583,0.99894804,0.9981684,-0.99900305,-0.99884075,-0.99853647,0.99893355,0.9993589,0.99846655,0.9990973,-0.9992328,-0.9993586,0.9990774,-0.99844927,-0.999577,0.9991135,0.9990639,-0.9977696,-0.99843216,0.9994217,-0.9984619,-0.99915934,-0.99909765,-0.99889684,0.99947757,0.9981396,-0.9984844,0.99923676,0.99932045
0.9984142,0.9990996,0.99945617,0.9992582,0.998948,0.99816823,-0.99900293,-0.99884063,-0.99853635,0.99893343,0.99935883,0.99846643,0.9990972,-0.99923277,-0.9993585,0.9990773,-0.9984491,-0.9995769,0.99911344,0.99906385,-0.9977695,-0.99843204,0.99942166,-0.9984618,-0.9991593,-0.9990976,-0.9988967,0.9994775,0.9981395,-0.9984843,0.99923664,0.9993204
0.99841505,0.99910015,0.9994565,0.99925864,0.99894845,0.9981691,-0.9990035,-0.9988413,-0.99853706,0.99893403,0.9993592,0.99846727,0.9990977,-0.9992331,-0.9993589,0.9990778,-0.99845,-0.9995772,0.9991139,0.9990643,-0.99777025,-0.9984329,0.999422,-0.99846256,-0.99915963,-0.99909806,-0.9988973,0.99947786,0.9981404,-0.99848497,0.9992372,0.9993208
0.99841464,0.99909985,0.99945635,0.9992584,0.9989482,0.9981686,-0.9990032,-0.99884087,-0.9985367,0.9989337,0.99935895,0.9984668,0.9990974,-0.9992329,-0.99935865,0.9990775,-0.99844944,-0.99957705,0.9991137,0.9990641,-0.9977698,-0.9984324,0.99942183,-0.9984621,-0.99915946,-0.99909776,-0.99889696,0.9994777,0.99813986,-0.99848455,0.9992369,0.99932057
0.99841434,0.9990997,0.9994562,0.9992583,0.99894804,0.9981683,-0.999003,-0.9988407,-0.9985364,0.9989335,0.99935883,0.9984665,0.9990973,-0.99923277,-0.99935853,0.9990773,-0.99844915,-0.9995769,0.9991135,0.9990639,-0.99776953,-0.9984321,0.9994217,-0.99846184,-0.9991593,-0.9990976,-0.9988968,0.99947757,0.99813956,-0.9984843,0.9992367,0.99932045
0.99841434,0.9990997,0.9994562,0.9992583,0.99894804,0.99816835,-0.999003,-0.9988407,-0.9985364,0.9989335,0.99935883,0.9984665,0.9990973,-0.99923277,-0.99935853,0.9990773,-0.9984492,-0.9995769,0.9991135,0.9990639,-0.99776953,-0.99843216,0.9994217,-0.99846184,-0.9991593,-0.99909765,-0.9988968,0.99947757,0.99813956,-0.9984844,0.9992367,0.99932045
0.9984143,0.9990997,0.9994562,0.9992583,0.99894804,0.99816835,-0.999003,-0.9988407,-0.9985364,0.9989335,0.99935883,0.9984665,0.9990973,-0.99923277,-0.99935853,0.9990773,-0.9984492,-0.9995769,0.9991135,0.9990639,-0.99776953,-0.99843216,0.9994217,-0.99846184,-0.9991593,-0.99909765,-0.9988968,0.99947757,0.99813956,-0.9984844,0.9992367,0.99932045
0.99841493,0.9991001,0.99945647,0.99925864,0.9989484,0.99816906,-0.99900347,-0.9988412,-0.998537,0.998934,0.99935913,0.9984672,0.99909765,-0.99923307,-0.99935883,0.99907774,-0.9984499,-0.99957716,0.9991139,0.99906427,-0.9977702,-0.99843276,0.999422,-0.9984625,-0.99915963,-0.99909806,-0.99889725,0.99947786,0.9981403,-0.9984849,0.9992371,0.9993208
0.9984144,0.99909973,0.9994562,0.9992583,0.99894804,0.99816835,-0.99900305,-0.99884075,-0.99853647,0.99893355,0.9993589,0.99846655,0.9990973,-0.9992328,-0.9993586,0.9990774,-0.99844927,-0.999577,0.99911356,0.99906397,-0.9977696,-0.99843216,0.9994217,-0.9984619,-0.99915934,-0.99909765,-0.9988968,0.99947757,0.9981396,-0.9984844,0.99923676,0.99932045
0.9984144,0.99909973,0.9994562,0.9992583,0.99894804,0.9981684,-0.99900305,-0.99884075,-0.99853647,0.99893355,0.9993589,0.99846655,0.9990973,-0.9992328,-0.9993586,0.9990774,-0.99844927,-0.999577,0.9991135,0.9990639,-0.9977696,-0.9984322,0.9994217,-0.9984619,-0.99915934,-0.99909765,-0.99889684,0.99947757,0.9981396,-0.9984844,0.99923676,0.99932045
0.99841434,0.9990997,0.9994562,0.9992583,0.99894804,0.99816835,-0.99900305,-0.9988407,-0.9985364,0.9989335,0.99935883,0.9984665,0.9990973,-0.9992328,-0.99935853,0.9990774,-0.9984492,-0.9995769,0.9991135,0.9990639,-0.99776953,-0.99843216,0.9994217,-0.99846184,-0.9991593,-0.99909765,-0.9988968,0.99947757,0.9981396,-0.9984844,0.9992367,0.99932045
0.99841434,0.99909973,0.9994562,0.9992583,0.99894804,0.99816835,-0.99900305,-0.99884075,-0.99853647,0.99893355,0.9993589,0.99846655,0.9990973,-0.9992328,-0.9993586,0.9990774,-0.99844927,-0.999577,0.9991135,0.9990639,-0.9977696,-0.99843216,0.9994217,-0.9984619,-0.99915934,-0.99909765,-0.99889684,0.99947757,0.9981396,-0.9984844,0.99923676,0.99932045
0.99841434,0.99909973,0.9994562,0.9992583,0.99894804,0.99816835,-0.99900305,-0.99884075,-0.99853647,0.9989335,0.99935883,0.99846655,0.9990973,-0.9992328,-0.99935853,0.9990774,-0.9984492,-0.9995769,0.9991135,0.9990639,-0.99776953,-0.99843216,0.9994217,-0.9984619,-0.99915934,-0.99909765,-0.9988968,0.99947757,0.9981396,-0.9984844,0.9992367,0.99932045
0.99841493,0.9991001,0.99945647,0.99925864,0.9989484,0.99816906,-0.99900347,-0.9988412,-0.998537,0.998934,0.99935913,0.9984672,0.99909765,-0.99923307,-0.99935883,0.99907774,-0.9984499,-0.99957716,0.9991139,0.99906427,-0.9977702,-0.99843276,0.999422,-0.9984625,-0.99915963,-0.999098,-0.99889725,0.99947786,0.9981403,-0.9984849,0.9992371,0.9993208
